cleaned_smiles,Rift Valley fever virus,Herpes simplex virus,Yellow fever virus,Norovirus,JC polyomavirus,Varicella zoster virus,Human papilloma virus,Adenovirus,Hepatitis virus,Xenotropic murine leukemia virus-related virus,Rhinovirus,Epstein Barr virus,Chikungunya virus,Lassa virus,Ebola virus,Rabies virus,Zika virus,T-lymphotropic virus,West Nile virus,polyomavirus,Ross River virus,Marburg virus,Poliovirus,Kaposi's sarcoma-associated herpesvirus,Crimean-Congo hemorrhagic fever virus,Parainfluenza virus,Japanese encephalitis virus,Sindbis virus,Vaccinia virus,BK virus,Coronavirus,Rubella virus,Enterovirus,Influenza,Filovirus,Human immunodeficiency virus,Dengue virus,Cytomegalovirus,Respiratory syncytial virus
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)CCCCc1cccc3c1CN(C3)C(=O)O2)P(=O)(O)OCC,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)COc1cccc(c1)-c1nc3cc4c(cc3nc1O2)OCO4)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCCC/C=C/c1ccc3ccnc(c3c1)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1CCC[C@H]1OC/C=C/C(F)(F)c1nc3ccc(OC(F)(F)F)cc3nc1O2)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1CCC[C@H]1OC/C=C/C(F)(F)c1nc3ccccc3nc1O2)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1CCC[C@H]1OC/C=C/C(F)(F)c1nc3ccccc3nc1O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1c(nc3ccccc3c1OC1C[C@@H]3CC[C@H](C1)N3CC)O2)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@]1(C)C[C@H]1CCC/C=C/c1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@]1(C)C[C@H]1CCCCCc1nc3ccccc3nc1O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)[C@@H](NC(=O)OC(C)(C)C)COC/C=C/c1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)C)CC(=O)N(C(C)C)CCCCCc1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)N1CC[C@@H](C1)OCCC/C=C/c1cc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)N1CC[C@@H](C1)OCCC/C=C/c1cc3ccccc3cc1O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)OCC(C)(C)C[C@@H]1C[C@@H]1c1cc3c(cc(OCC)nc3cc1OC)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)O[C@@H]1CCC[C@H]1CCCCCn1c(nc3cc(OC)ccc3c1=O)O2)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)O[C@@H]1CCC[C@H]1CCCCCn1c(nc3cc(OC)ccc3c1=O)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)O[C@]1(C)C[C@H]1CC/C=C/Cn1c(nc3cc(C)ccc3c1=O)O2)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)O[C@]1(C)C[C@H]1CC/C=C/Cn1c(nc3cc(C)ccc3c1=O)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)O[C@]1(C)C[C@H]1CCCCCc1nc3cccc(OC)c3nc1O2)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)O[C@]1(C)C[C@H]1CCCCCc1nc3cccc(OC)c3nc1O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)O[C@]1(C)C[C@H]1CCCCCc1nc3ccccc3nc1O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)O[C@]1(C)C[C@H]1CCCCCn1c(nc3cc(C)ccc3c1=O)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)Nc1nc(cs1)CCC/C=C/c1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)CC(=O)N(C(C)C)CCCCCc1cc3c(cc(-c4ccccc4)nc3cc1OC)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)CC(=O)N(C(C)C)CCCCCc1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)CC(=O)NCCCCCc1cc3c(cc(-c4ccccc4)nc3cc1OC)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)CC(=O)NCCCCCc1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)N1CCC[C@H](C1)OCCCc1cc3c(cc(OCC)nc3cc1OC)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)N1CC[C@@H](C1)OCCC/C=C/c1cc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)OCC(C)(C)CCCc1cc3c(nccc3cc1OC)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)O[C@@H]1C[C@H]1CCCCCc1c(nc3ccccc3c1OC1CCN(CC)CC1)O2)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)O[C@@H]1C[C@H]1CCCCCc1c(nc3ccccc3c1OC1CCN(CC3CC3)CC1)O2)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)O[C@@H]1C[C@H]1CCCCCc1c(nc3ccccc3c1OC1C[C@@H]3CC[C@H](C1)N3C)O2)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)COC/C=C/c1cc3c(nccc3cc1OC)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)COC/C=C/c1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NCCCC(C)(C)CCCc1cc3c(cc(-c4ccccc4)nc3cc1OC)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NCCCCCCCc1cc3c(cc(-c4ccccc4)nc3cc1OC)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)Nc1nc(cs1)CCC/C=C/c1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H]([C@@H](C)CC)Nc1nc(cs1)CCC/C=C/c1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](O)(c2cc(C)cc(C)c2)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](O)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](O)(c2cccc(C)c2)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](O)(c2cccc(Cl)c2)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](O)(c2cccc(F)c2)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](O)(c2cccc(OC)c2)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccc(C)cc3)cc2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccc(C)cn3)cc2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3cccc(OC)c3)cc2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](NC(=O)NC12CC3CC(CC(C3)C1)C2)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C(F)(F)F)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](NC(=O)OC12CC3CC(CC(C3)C1)C2)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](Nc1ccc(F)c(F)c1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](Nc1cccc(OC)c1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3cscn3)cc2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3nccs3)cc2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OCc2ccccc2)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](SCCCC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(c3ccc(-c4ccccc4)cc3)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)CCCC/C=C/CS2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(c3ccc(-c4ccccc4)cc3)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)CCCCC/C=C/CS2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(c3ccc(-c4ccccc4)cc3)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)CCCCCC/C=C/CS2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(c3ccc(-c4ccccc4)cc3)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)CCCCCCCCCS2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@](c2ccc(-c3ccccc3)cc2)(S(=O)(=O)CCCC)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@]2(OC)CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)C/C=C/c1cc3cc2ccc3cc1OC)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@]2(OC)CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)CCCCc1cc(OC)ccc1-c1ccc2cc1)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@]2(OC)CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)CCCCc1ccccc1-c1ccc2cc1)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@]2(OC)CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)CCCc1cc3cc2ccc3cc1OC)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@]2(OC)CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCCC(C)(C)CCCc1cc(OC)ccc1-c1ccc2cc1)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@]2(OC)CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCCC(C)(C)CCCc1cc3cc2ccc3cc1OC)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@]2(OC)CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCCC/C=C/c1cc3cc2ccc3cc1OC)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@]2(OC)CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCCCCCCc1cc3cc2ccc3cc1OC)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@]2(OC)CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCCCCCCc1ccccc1-c1ccc2cc1)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@]23CCc4c(c(nc5ccc(OC)cc45)CCCCC[C@@H]4CCC[C@H]4OC(=O)N[C@@H](C(C)(C)C)C(=O)N1C2)O3)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1[C@H](C)[C@@H](Oc2cc(-c3nc(C(C)C)cs3)nc3c(C)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1[C@H](C)[C@@H](Oc2cc(-c3nc(C(C)C)cs3)nc3c(C)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1[C@H](C)[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1(C)CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1[C@H](C)[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C[C@@]1(C)Cc2c(O)ccc(O)c2[C@@H]2OCC(=C)[C@@H]21,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
