cleaned_smiles,Rift Valley fever virus,Herpes simplex virus,Yellow fever virus,Norovirus,JC polyomavirus,Varicella zoster virus,Human papilloma virus,Adenovirus,Hepatitis virus,Xenotropic murine leukemia virus-related virus,Rhinovirus,Epstein Barr virus,Chikungunya virus,Lassa virus,Ebola virus,Rabies virus,Zika virus,T-lymphotropic virus,West Nile virus,polyomavirus,Ross River virus,Marburg virus,Poliovirus,Kaposi's sarcoma-associated herpesvirus,Crimean-Congo hemorrhagic fever virus,Parainfluenza virus,Japanese encephalitis virus,Sindbis virus,Vaccinia virus,BK virus,Coronavirus,Rubella virus,Enterovirus,Influenza,Filovirus,Human immunodeficiency virus,Dengue virus,Cytomegalovirus,Respiratory syncytial virus
C#CCOC(=O)C(NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1)C(C)C,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCOC(=O)CNP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCOC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCOc1cc2c(cc1OCC#C)-c1cccc(CC)c1N(C)C2,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCSc1nnc(-c2ccc(C)cc2)c2ccccc12,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
C#CC[C@@H](NC(=O)OC)C(=O)N1CCC[C@H]1c1nc2ccc(-c3ccc(-c4ccc5nc([C@@H]6CCCN6C(=O)[C@@H](CC#C)NC(=O)OC)[nH]c5c4)s3)cc2[nH]1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC[C@H](NC(=O)OC)C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)C(C)(C)c2ccc(-c4ccc5nc([C@@H]6CCCN6C(=O)[C@H](CC#C)NC(=O)OC)[nH]c5c4)cc2O3)[nH]1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCn1c(C)c(-c2ccccc2)c(-c2ccc(Cl)cc2)c(C#N)c1=O,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,
C#CCn1cnc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O[C@@H]3[C@@H](COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]5[C@@H](COP(=O)(O)O[C@@H]6[C@@H](COP(=O)(O)O[C@@H]7[C@@H](COP(=O)(O)O[C@@H]8[C@@H](COP(=O)(O)O[C@@H]9[C@@H](COP(=O)(O)O[C@@H]%10[C@@H](COP(=O)(O)O[C@@H]%11[C@@H](COP(=O)(O)O[C@@H]%12[C@@H](COP(=O)(O)O[C@@H]%13[C@@H](COP(=O)(O)O[C@@H]%14[C@@H](COP(=O)(O)O[C@@H]%15[C@@H](COP(=O)(O)O[C@@H]%16[C@@H](COP(=O)(O)O[C@@H]%17[C@@H](COP(=O)(O)O[C@@H]%18[C@@H](COP(=O)(O)O[C@@H]%19[C@@H](COP(=O)(O)O[C@@H]%20[C@@H](COP(=O)(O)O[C@@H]%21[C@@H](COP(=O)(O)O[C@@H]%22[C@@H](COP(=O)(O)O[C@@H]%23[C@@H](COP(=O)(O)O[C@@H]%24[C@@H](COP(=O)(O)O[C@@H]%25[C@@H](COP(=O)(O)O[C@@H]%26[C@@H](COP(=O)(O)O[C@@H]%27[C@@H](COP(=O)(O)O[C@@H]%28[C@@H](COP(=O)(O)O[C@@H]%29[C@@H](COP(=O)(O)O[C@@H]%30[C@@H](COP(=O)(O)O[C@@H]%31[C@@H](COP(=O)(O)O[C@@H]%32[C@@H](COP(=O)(O)O[C@@H]%33[C@@H](COP(=O)(O)O[C@@H]%34[C@@H](COC)O[C@@H](n%35cnc%36c(=O)n(CC#C)cnc%36%35)[C@@H]%34O)O[C@@H](n%34cnc%35c(=O)n(CC#C)cnc%35%34)[C@@H]%33O)O[C@@H](n%33cnc%34c(=O)n(CC#C)cnc%34%33)[C@@H]%32O)O[C@@H](n%32cnc%33c(=O)n(CC#C)cnc%33%32)[C@@H]%31O)O[C@@H](n%31cnc%32c(=O)n(CC#C)cnc%32%31)[C@@H]%30O)O[C@@H](n%30cnc%31c(=O)n(CC#C)cnc%31%30)[C@@H]%29O)O[C@@H](n%29cnc%30c(=O)n(CC#C)cnc%30%29)[C@@H]%28O)O[C@@H](n%28cnc%29c(=O)n(CC#C)cnc%29%28)[C@@H]%27O)O[C@@H](n%27cnc%28c(=O)n(CC#C)cnc%28%27)[C@@H]%26O)O[C@@H](n%26cnc%27c(=O)n(CC#C)cnc%27%26)[C@@H]%25O)O[C@@H](n%25cnc%26c(=O)n(CC#C)cnc%26%25)[C@@H]%24O)O[C@@H](n%24cnc%25c(=O)n(CC#C)cnc%25%24)[C@@H]%23O)O[C@@H](n%23cnc%24c(=O)n(CC#C)cnc%24%23)[C@@H]%22O)O[C@@H](n%22cnc%23c(=O)n(CC#C)cnc%23%22)[C@@H]%21O)O[C@@H](n%21cnc%22c(=O)n(CC#C)cnc%22%21)[C@@H]%20O)O[C@@H](n%20cnc%21c(=O)n(CC#C)cnc%21%20)[C@@H]%19O)O[C@@H](n%19cnc%20c(=O)n(CC#C)cnc%20%19)[C@@H]%18O)O[C@@H](n%18cnc%19c(=O)n(CC#C)cnc%19%18)[C@@H]%17O)O[C@@H](n%17cnc%18c(=O)n(CC#C)cnc%18%17)[C@@H]%16O)O[C@@H](n%16cnc%17c(=O)n(CC#C)cnc%17%16)[C@@H]%15O)O[C@@H](n%15cnc%16c(=O)n(CC#C)cnc%16%15)[C@@H]%14O)O[C@@H](n%14cnc%15c(=O)n(CC#C)cnc%15%14)[C@@H]%13O)O[C@@H](n%13cnc%14c(=O)n(CC#C)cnc%14%13)[C@@H]%12O)O[C@@H](n%12cnc%13c(=O)n(CC#C)cnc%13%12)[C@@H]%11O)O[C@@H](n%11cnc%12c(=O)n(CC#C)cnc%12%11)[C@@H]%10O)O[C@@H](n%10cnc%11c(=O)n(CC#C)cnc%11%10)[C@@H]9O)O[C@@H](n9cnc%10c(=O)n(CC#C)cnc%109)[C@@H]8O)O[C@@H](n8cnc9c(=O)n(CC#C)cnc98)[C@@H]7O)O[C@@H](n7cnc8c(=O)n(CC#C)cnc87)[C@@H]6O)O[C@@H](n6cnc7c(=O)n(CC#C)cnc76)[C@@H]5O)O[C@@H](n5cnc6c(=O)n(CC#C)cnc65)[C@@H]4O)O[C@@H](n4cnc5c(=O)n(CC#C)cnc54)[C@@H]3O)[C@@H](OP(C)(=O)O)[C@H]2O)c1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
